pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"count_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,16,"(12, 8)",59430
"count_enc,most_freq_imp,min_max_scale,over_samp,no_sel",0.2679943100995733,0.21114866549018435,0.4509279739443155,0.31000000000000005,0.30724637681159417,0.31714285714285717,0.31223021582733823,0.31000000000000016,0.5409356725146198,16,"(12, 8)",59430
"count_enc,most_freq_imp,no_sel,min_max_scale,no_samp",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,16,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,16,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,16,"(12, 8)",59430
"count_enc,median_imp,no_samp,min_max_scale,k_best_sel",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,16,"(12, 8)",59430
"count_enc,median_imp,k_best_sel,min_max_scale,no_samp",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,16,"(12, 8)",59430
"loo_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.10752688172043012,0.06411828632389158,0.18520959714573695,0.238,0.21125000000000005,0.09857142857142853,0.15866666666666673,0.3309523809523809,0.8709677419354839,16,"(12, 8)",59430
"loo_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.10752688172043012,0.06411828632389158,0.18520959714573695,0.238,0.21125000000000005,0.09857142857142853,0.15866666666666673,0.3309523809523809,0.8709677419354839,17,"(12, 8)",59430
"count_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,17,"(12, 8)",59430
"count_enc,most_freq_imp,no_sel,min_max_scale,no_samp",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,17,"(12, 8)",59430
"count_enc,median_imp,no_samp,min_max_scale,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,17,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,17,"(12, 8)",59430
"count_enc,median_imp,k_best_sel,min_max_scale,no_samp",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,17,"(12, 8)",59430
"count_enc,most_freq_imp,min_max_scale,no_samp,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,17,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,17,"(12, 8)",59430
"count_enc,median_imp,no_samp,min_max_scale,k_best_sel",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,17,"(12, 8)",59430
"count_enc,median_imp,no_sel,min_max_scale,no_samp",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,17,"(12, 8)",59430
"count_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,18,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,18,"(12, 8)",59430
"loo_enc,most_freq_imp,min_max_scale,no_samp,k_best_sel",0.10930341280972422,0.060110270291827445,0.19561149513451923,0.24,0.21177944862155385,0.10142857142857142,0.1602136181575433,0.33238095238095244,0.8686073957513768,18,"(12, 8)",59430
"count_enc,median_imp,no_samp,min_max_scale,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,18,"(12, 8)",59430
"count_enc,most_freq_imp,no_sel,min_max_scale,no_samp",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,18,"(12, 8)",59430
"count_enc,most_freq_imp,min_max_scale,no_sel,no_samp",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,18,"(12, 8)",59430
"loo_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.10752688172043012,0.06411828632389158,0.18520959714573695,0.238,0.21125000000000005,0.09857142857142853,0.15866666666666673,0.3309523809523809,0.8709677419354839,18,"(12, 8)",59430
"count_enc,median_imp,k_best_sel,min_max_scale,no_samp",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,18,"(12, 8)",59430
"count_enc,most_freq_imp,min_max_scale,no_samp,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,18,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,18,"(12, 8)",59430
"count_enc,median_imp,k_best_sel,min_max_scale,no_samp",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,19,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,19,"(12, 8)",59430
"count_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,19,"(12, 8)",59430
"count_enc,median_imp,no_samp,min_max_scale,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,19,"(12, 8)",59430
"count_enc,most_freq_imp,no_sel,min_max_scale,no_samp",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,19,"(12, 8)",59430
"loo_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.10752688172043012,0.06411828632389158,0.18520959714573695,0.238,0.21125000000000005,0.09857142857142853,0.15866666666666673,0.3309523809523809,0.8709677419354839,19,"(12, 8)",59430
"count_enc,most_freq_imp,min_max_scale,no_samp,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,19,"(12, 8)",59430
"count_enc,most_freq_imp,min_max_scale,no_sel,no_samp",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,19,"(12, 8)",59430
"loo_enc,most_freq_imp,min_max_scale,no_samp,k_best_sel",0.10930341280972422,0.060110270291827445,0.19561149513451923,0.24,0.21177944862155385,0.10142857142857142,0.1602136181575433,0.33238095238095244,0.8686073957513768,19,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,19,"(12, 8)",59430
"count_enc,most_freq_imp,no_sel,min_max_scale,no_samp",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,20,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,20,"(12, 8)",59430
"count_enc,most_freq_imp,min_max_scale,no_samp,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,20,"(12, 8)",59430
"count_enc,median_imp,no_samp,min_max_scale,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,20,"(12, 8)",59430
"count_enc,most_freq_imp,min_max_scale,no_sel,no_samp",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,20,"(12, 8)",59430
"count_enc,most_freq_imp,no_samp,min_max_scale,no_sel",0.08517999064983639,0.046221796827485825,0.1775441466041322,0.29000000000000004,0.2621809744779582,0.09142857142857141,0.1856594110115236,0.4223809523809523,0.9041204020417829,20,"(12, 8)",59430
"loo_enc,median_imp,min_max_scale,no_samp,k_best_sel",0.10752688172043012,0.06411828632389158,0.18520959714573695,0.238,0.21125000000000005,0.09857142857142853,0.15866666666666673,0.3309523809523809,0.8709677419354839,20,"(12, 8)",59430
"count_enc,median_imp,k_best_sel,min_max_scale,no_samp",0.07985039738195421,0.036271548071266924,0.1741263922040302,0.29200000000000004,0.26497695852534564,0.08857142857142852,0.18622448979591844,0.4276190476190477,0.9105571847507331,20,"(12, 8)",59430
"loo_enc,most_freq_imp,min_max_scale,no_samp,k_best_sel",0.10930341280972422,0.060110270291827445,0.19561149513451923,0.24,0.21177944862155385,0.10142857142857142,0.1602136181575433,0.33238095238095244,0.8686073957513768,20,"(12, 8)",59430
"count_enc,median_imp,min_max_scale,no_samp,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,20,"(12, 8)",59430
"count_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",1.0,0.0,1.0,0.30000000000000004,0.2995991983967936,0.0014285714285714457,0.1766784452296819,0.4990476190476191,-1.0,0,"(16, 4)",59430
"woe_enc,most_freq_imp,k_best_sel,min_max_scale,no_samp",0.1172043010752688,0.060110270291827445,0.21919572108197102,0.239,0.21079046424090342,0.10142857142857142,0.15965263861055456,0.33071428571428574,0.8593548387096774,0,"(16, 4)",59430
"count_enc,most_freq_imp,k_best_sel,max_abs_scale,under_samp",0.22830227007262205,0.28536251709986316,0.41197762829636636,0.3416666666666667,0.3432343234323433,0.33666666666666667,0.33996683250414605,0.3416666666666667,0.605571397236236,0,"(16, 4)",59430
"woe_enc,most_freq_imp,k_best_sel,norm_scale,over_samp",0.6029723991507431,0.373134328358209,0.9583195135433942,0.4585714285714285,0.46674311926605505,0.33571428571428574,0.40839694656488557,0.45857142857142863,-1.0,0,"(16, 4)",59430
"loo_enc,most_freq_imp,norm_scale,no_samp,no_sel",1.0,0.0,1.0,0.30000000000000004,0.30000000000000004,0.0,0.17647058823529416,0.5,-1.0,0,"(16, 4)",59430
"count_enc,most_freq_imp,under_samp,quant_scale,no_sel",0.18685697815762103,0.17936507936507934,0.3230799551996535,0.31166666666666665,0.3044982698961938,0.32999999999999996,0.3174872665534805,0.31166666666666676,0.6562860172421742,0,"(16, 4)",59430
"onehot_enc,median_imp,min_max_scale,k_best_sel,over_samp",0.14720569122374988,0.14025065055484098,0.24344816760706228,0.3014285714285714,0.28810975609756095,0.33285714285714285,0.3112094395280236,0.3014285714285714,0.7142477758597796,0,"(16, 4)",59430
"target_enc,most_freq_imp,no_samp,quant_scale,no_sel",0.11528751753155686,0.07600275177220112,0.19450027807029413,0.24,0.20737913486005088,0.10999999999999999,0.16150740242261097,0.32666666666666666,0.8597030209933435,0,"(16, 4)",59430
"count_enc,median_imp,min_max_scale,under_samp,no_sel",0.2413007376511026,0.25340909090909086,0.4141276652882637,0.31999999999999995,0.31756756756756754,0.32666666666666666,0.3221476510067114,0.32000000000000006,0.5761769095102428,0,"(16, 4)",59430
"loo_enc,median_imp,no_sel,min_max_scale,no_samp",0.11061243571762502,0.05306134657374449,0.20561430300777112,0.242,0.20865139949109412,0.11142857142857143,0.16285329744279942,0.32904761904761903,0.8651544511569589,0,"(16, 4)",59430
"woe_enc,most_freq_imp,k_best_sel,quant_scale,over_samp",0.12618724559023065,0.11371997726796876,0.16639978770443617,0.26428571428571423,0.25806451612903225,0.27714285714285714,0.26772793053545596,0.26428571428571435,0.7613636363636364,1,"(16, 4)",59430
"target_enc,most_freq_imp,no_samp,norm_scale,no_sel",1.0,0.0,1.0,0.30000000000000004,0.30000000000000004,0.0,0.17647058823529416,0.5,-1.0,1,"(16, 4)",59430
"target_enc,most_freq_imp,no_samp,quant_scale,no_sel",0.11528751753155686,0.07600275177220112,0.19450027807029413,0.24,0.20737913486005088,0.10999999999999999,0.16150740242261097,0.32666666666666666,0.8597030209933435,1,"(16, 4)",59430
"loo_enc,most_freq_imp,norm_scale,under_samp,no_sel",0.3402061855670103,0.5764705882352941,0.8516999460334592,0.44833333333333336,0.4279069767441861,0.5900000000000001,0.5223300970873787,0.44833333333333336,-1.0,1,"(16, 4)",59430
"count_enc,median_imp,min_max_scale,no_samp,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,1,"(16, 4)",59430
"count_enc,most_freq_imp,k_best_sel,max_abs_scale,under_samp",0.20096487260666368,0.23073646094041217,0.36258717423115616,0.3466666666666667,0.347682119205298,0.3433333333333334,0.345514950166113,0.3466666666666667,0.6472145031096995,1,"(16, 4)",59430
"woe_enc,most_freq_imp,k_best_sel,min_max_scale,no_samp",0.1172043010752688,0.060110270291827445,0.21919572108197102,0.239,0.21079046424090342,0.10142857142857142,0.15965263861055456,0.33071428571428574,0.8593548387096774,1,"(16, 4)",59430
"ordinal_enc,median_imp,no_sel,min_max_scale,no_samp",0.10425432445067795,0.04815601351957646,0.2162716770961172,0.27,0.24096385542168675,0.09999999999999998,0.17647058823529416,0.3833333333333333,0.8791000271076171,1,"(16, 4)",59430
"loo_enc,median_imp,no_sel,min_max_scale,no_samp",0.11061243571762502,0.05306134657374449,0.20561430300777112,0.242,0.20865139949109412,0.11142857142857143,0.16285329744279942,0.32904761904761903,0.8651544511569589,1,"(16, 4)",59430
"onehot_enc,median_imp,min_max_scale,k_best_sel,over_samp",0.1822704658525554,0.19221527632379187,0.2942845909451448,0.29714285714285715,0.2893175074183977,0.3157142857142857,0.30276564774381365,0.29714285714285726,0.6634454784061083,1,"(16, 4)",59430
"count_enc,median_imp,no_samp,min_max_scale,no_sel",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,2,"(16, 4)",59430
"target_enc,most_freq_imp,quant_scale,no_samp,no_sel",0.11528751753155686,0.07600275177220112,0.19450027807029413,0.24,0.20737913486005088,0.10999999999999999,0.16150740242261097,0.32666666666666666,0.8597030209933435,2,"(16, 4)",59430
"count_enc,median_imp,no_sel,min_max_scale,no_samp",0.08807854137447402,0.046221796827485825,0.1880153507926139,0.29200000000000004,0.26388888888888884,0.09142857142857141,0.1867007672634271,0.4257142857142857,0.9011801730920536,2,"(16, 4)",59430
