pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,dp_acc_reps,seed
"loo_enc,median_imp,norm_scale,no_samp,k_best_sel",0.0662891096462724,0.7633587786259542,0.8087090705358791,0.22198335431958482,0.4034037188780334,0.758576712154062,0.6562556745959687,0.4051783237145715,-1.0,17,"(16, 4)",10329
"loo_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.22311968305641716,0.38167625308134756,0.8080601964035199,0.7070559610705596,0.42282055127619356,-1.0,17,"(16, 4)",10329
"loo_enc,median_imp,norm_scale,k_best_sel,no_samp",0.0662891096462724,0.7633587786259542,0.8087090705358791,0.22198335431958482,0.4034037188780334,0.758576712154062,0.6562556745959687,0.4051783237145715,-1.0,17,"(16, 4)",10329
"ordinal_enc,median_imp,no_sel,norm_scale,no_samp",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,17,"(16, 4)",10329
"onehot_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.223211817818863,0.3824374230611407,0.8080601964035199,0.7071414672115197,0.42288123088784413,-1.0,17,"(16, 4)",10329
"ordinal_enc,median_imp,norm_scale,no_samp,k_best_sel",0.053012719338965744,0.7854113655640373,0.8185639927533618,0.2233346641687909,0.3834494059811553,0.8080601964035199,0.7072553977825327,0.4229621370367115,-1.0,17,"(16, 4)",10329
"ordinal_enc,median_imp,norm_scale,k_best_sel,no_samp",0.053012719338965744,0.7854113655640373,0.8185639927533618,0.2233346641687909,0.3834494059811553,0.8080601964035199,0.7072553977825327,0.4229621370367115,-1.0,17,"(16, 4)",10329
"ordinal_enc,median_imp,no_sel,norm_scale,no_samp",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,18,"(16, 4)",10329
"ordinal_enc,median_imp,k_best_sel,norm_scale,no_samp",0.06805310556122923,0.7548770144189991,0.8011655882305088,0.2198335431958478,0.3968589549984899,0.7453130978191558,0.641857962697274,0.39923421881249044,-1.0,18,"(16, 4)",10329
"loo_enc,median_imp,norm_scale,no_samp,k_best_sel",0.0662891096462724,0.7633587786259542,0.8087090705358791,0.22198335431958482,0.4034037188780334,0.758576712154062,0.6562556745959687,0.4051783237145715,-1.0,18,"(16, 4)",10329
"loo_enc,median_imp,norm_scale,no_samp,no_sel",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,18,"(16, 4)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,no_samp",0.05282703555844397,0.7854113655640373,0.8183554856641208,0.22308897146893525,0.38142211261816683,0.8080601964035199,0.7070274479268055,0.4228003247389768,-1.0,18,"(16, 4)",10329
"loo_enc,median_imp,norm_scale,k_best_sel,no_samp",0.0662891096462724,0.7633587786259542,0.8087090705358791,0.22198335431958482,0.4034037188780334,0.758576712154062,0.6562556745959687,0.4051783237145715,-1.0,18,"(16, 4)",10329
"ordinal_enc,median_imp,norm_scale,no_samp,k_best_sel",0.053012719338965744,0.7854113655640373,0.8185639927533618,0.2233346641687909,0.3834494059811553,0.8080601964035199,0.7072553977825327,0.4229621370367115,-1.0,18,"(16, 4)",10329
"loo_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.22311968305641716,0.38167625308134756,0.8080601964035199,0.7070559610705596,0.42282055127619356,-1.0,18,"(16, 4)",10329
"ordinal_enc,median_imp,k_best_sel,no_samp,norm_scale",0.06805310556122923,0.7548770144189991,0.8011655882305088,0.2198335431958478,0.3968589549984899,0.7453130978191558,0.641857962697274,0.39923421881249044,-1.0,18,"(16, 4)",10329
"onehot_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.223211817818863,0.3824374230611407,0.8080601964035199,0.7071414672115197,0.42288123088784413,-1.0,18,"(16, 4)",10329
"ordinal_enc,median_imp,k_best_sel,no_samp,norm_scale",0.06805310556122923,0.7548770144189991,0.8011655882305088,0.2198335431958478,0.3968589549984899,0.7453130978191558,0.641857962697274,0.39923421881249044,-1.0,19,"(16, 4)",10329
"ordinal_enc,median_imp,k_best_sel,norm_scale,no_samp",0.06805310556122923,0.7548770144189991,0.8011655882305088,0.2198335431958478,0.3968589549984899,0.7453130978191558,0.641857962697274,0.39923421881249044,-1.0,19,"(16, 4)",10329
"ordinal_enc,median_imp,no_sel,no_samp,norm_scale",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,19,"(16, 4)",10329
"loo_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.22311968305641716,0.38167625308134756,0.8080601964035199,0.7070559610705596,0.42282055127619356,-1.0,19,"(16, 4)",10329
"ordinal_enc,median_imp,norm_scale,no_samp,no_sel",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,19,"(16, 4)",10329
"ordinal_enc,median_imp,no_sel,norm_scale,no_samp",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,19,"(16, 4)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,no_samp",0.05282703555844397,0.7854113655640373,0.8183554856641208,0.22308897146893525,0.38142211261816683,0.8080601964035199,0.7070274479268055,0.4228003247389768,-1.0,19,"(16, 4)",10329
"onehot_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.223211817818863,0.3824374230611407,0.8080601964035199,0.7071414672115197,0.42288123088784413,-1.0,19,"(16, 4)",10329
"loo_enc,median_imp,norm_scale,no_samp,no_sel",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,19,"(16, 4)",10329
"loo_enc,median_imp,norm_scale,no_samp,k_best_sel",0.0662891096462724,0.7633587786259542,0.8087090705358791,0.22198335431958482,0.4034037188780334,0.758576712154062,0.6562556745959687,0.4051783237145715,-1.0,19,"(16, 4)",10329
"loo_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.22311968305641716,0.38167625308134756,0.8080601964035199,0.7070559610705596,0.42282055127619356,-1.0,20,"(16, 4)",10329
"ordinal_enc,median_imp,norm_scale,no_samp,no_sel",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,20,"(16, 4)",10329
"loo_enc,median_imp,norm_scale,no_samp,k_best_sel",0.0662891096462724,0.7633587786259542,0.8087090705358791,0.22198335431958482,0.4034037188780334,0.758576712154062,0.6562556745959687,0.4051783237145715,-1.0,20,"(16, 4)",10329
"onehot_enc,median_imp,norm_scale,no_sel,no_samp",0.06647479342679417,0.7548770144189991,0.7993932779719599,0.2177144436595928,0.3850152905198777,0.7435276112740722,0.6380163801638017,0.39722901599302307,-1.0,20,"(16, 4)",10329
"ordinal_enc,median_imp,k_best_sel,no_samp,norm_scale",0.06805310556122923,0.7548770144189991,0.8011655882305088,0.2198335431958478,0.3968589549984899,0.7453130978191558,0.641857962697274,0.39923421881249044,-1.0,20,"(16, 4)",10329
"ordinal_enc,median_imp,no_sel,no_samp,norm_scale",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,20,"(16, 4)",10329
"ordinal_enc,median_imp,norm_scale,no_sel,no_samp",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,20,"(16, 4)",10329
"ordinal_enc,median_imp,k_best_sel,norm_scale,no_samp",0.06805310556122923,0.7548770144189991,0.8011655882305088,0.2198335431958478,0.3968589549984899,0.7453130978191558,0.641857962697274,0.39923421881249044,-1.0,20,"(16, 4)",10329
"ordinal_enc,median_imp,no_sel,norm_scale,no_samp",0.06870299879305543,0.7523324851569126,0.7990380731469043,0.22007923589570344,0.3988005997001499,0.7442928197933937,0.6411954187544738,0.39904770439507875,-1.0,20,"(16, 4)",10329
"loo_enc,median_imp,norm_scale,no_samp,no_sel",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,20,"(16, 4)",10329
"loo_enc,median_imp,no_sel,norm_scale,no_samp",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,0,"(20, 0)",10329
"count_enc,most_freq_imp,over_samp,no_sel,no_scale",0.3923131095716397,0.31169187418397165,0.5882416849949375,0.2961367313915858,0.2969335536124431,0.2941747572815534,0.29555685649110763,0.2961367313915857,0.35376896164544175,0,"(20, 0)",10329
"woe_enc,median_imp,no_sel,under_samp,min_max_scale",0.4232970342602982,0.2242158569522839,0.5041237547548227,0.1981890065042724,0.2210302958858894,0.15725035072057136,0.19039451114922823,0.1981890065042724,0.3532742781487801,0,"(20, 0)",10329
"ordinal_enc,mean_imp,no_sel,min_max_scale,under_samp",0.4570105560642753,0.4152340480575589,0.6968485280128089,0.24818262976661143,0.2492698412698413,0.2460145389618671,0.2476457113769407,0.24818262976661143,0.26912759061580094,0,"(20, 0)",10329
"onehot_enc,median_imp,over_samp,max_abs_scale,no_sel",0.390070418032348,0.16975949366615664,0.40866236266195743,0.18584142394822012,0.20274822016382144,0.1574029126213592,0.1807025134720528,0.18584142394822,0.3840069835431689,0,"(20, 0)",10329
"loo_enc,median_imp,k_best_sel,no_scale,under_samp",0.40405785095129076,0.1978788459809908,0.4682576487038489,0.2016962122178294,0.22021531100478464,0.16860094375717383,0.19523486204555274,0.2016962122178294,0.36888551445341905,0,"(20, 0)",10329
"onehot_enc,most_freq_imp,min_max_scale,under_samp,k_best_sel",0.47522210836454615,0.3441613964380664,0.6717692956538319,0.2240147940313736,0.2490723562152134,0.17408493814564474,0.21336167628302471,0.2240147940313737,0.2982284631751436,0,"(20, 0)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,over_samp",0.19379613749906793,0.5417648599109715,0.6302761192937905,0.2665453074433657,0.2797496374322571,0.2365695792880259,0.25878795019834266,0.2665453074433657,-1.0,0,"(20, 0)",10329
"loo_enc,median_imp,no_samp,k_best_sel,no_scale",0.17442306477172634,0.15518509266919417,0.23093634668882712,0.1614201038051657,0.27248723816229536,0.47289886494069633,0.3886998964650199,0.26776011208199857,0.24872927824156615,0,"(20, 0)",10329
"onehot_enc,most_freq_imp,min_max_scale,k_best_sel,under_samp",0.4850158075899429,0.33315687393389115,0.6649992969820013,0.21100624920290778,0.23546579500350218,0.16477490116056626,0.20168220881331134,0.21100624920290778,0.28481781717298005,0,"(20, 0)",10329
"loo_enc,median_imp,no_samp,k_best_sel,no_scale",0.17442306477172634,0.15518509266919417,0.23093634668882712,0.1614201038051657,0.27248723816229536,0.47289886494069633,0.3886998964650199,0.26776011208199857,0.24872927824156615,1,"(20, 0)",10329
"count_enc,most_freq_imp,over_samp,no_sel,no_scale",0.3955251403359048,0.32727007320884016,0.6036007916949397,0.2976132686084142,0.29901173067652254,0.2941343042071197,0.29658147222446185,0.2976132686084143,0.35141987376574807,1,"(20, 0)",10329
"loo_enc,median_imp,over_samp,k_best_sel,no_scale",0.41071339704507936,0.21909897988575405,0.4813545877451151,0.19708737864077674,0.2122656009837074,0.17071197411003236,0.19202270219139217,0.19708737864077674,0.355578053416637,1,"(20, 0)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,no_samp",0.05282703555844397,0.7854113655640373,0.8183554856641208,0.22308897146893525,0.38142211261816683,0.8080601964035199,0.7070274479268055,0.4228003247389768,-1.0,1,"(20, 0)",10329
"loo_enc,median_imp,no_samp,no_sel,norm_scale",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,1,"(20, 0)",10329
"loo_enc,median_imp,k_best_sel,no_scale,no_samp",0.17442306477172634,0.15518509266919417,0.23093634668882712,0.1614201038051657,0.27248723816229536,0.47289886494069633,0.3886998964650199,0.26776011208199857,0.24872927824156615,1,"(20, 0)",10329
"onehot_enc,median_imp,over_samp,max_abs_scale,no_sel",0.3884051678324132,0.16823845407944968,0.4090073016427946,0.18760113268608414,0.20465062913527365,0.15873786407766988,0.18233825466412412,0.18760113268608414,0.3868582115038487,1,"(20, 0)",10329
"loo_enc,median_imp,no_sel,norm_scale,no_samp",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,1,"(20, 0)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,over_samp",0.18903492301915134,0.5490196078431373,0.6363840782351307,0.2671723300970874,0.2796262970478999,0.23891585760517797,0.2598304384601765,0.2671723300970874,-1.0,1,"(20, 0)",10329
"loo_enc,mean_imp,under_samp,k_best_sel,no_scale",0.4097175684914802,0.22463714421978334,0.4771623981287061,0.19480933554393576,0.21085065248912516,0.16707052671853084,0.18955140534838988,0.19480933554393576,0.3578551237811319,1,"(20, 0)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,no_samp",0.05282703555844397,0.7854113655640373,0.8183554856641208,0.22308897146893525,0.38142211261816683,0.8080601964035199,0.7070274479268055,0.4228003247389768,-1.0,2,"(20, 0)",10329
"loo_enc,median_imp,norm_scale,no_sel,no_samp",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,2,"(20, 0)",10329
"onehot_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.223211817818863,0.3824374230611407,0.8080601964035199,0.7071414672115197,0.42288123088784413,-1.0,2,"(20, 0)",10329
"loo_enc,median_imp,no_samp,k_best_sel,norm_scale",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.22311968305641716,0.38167625308134756,0.8080601964035199,0.7070559610705596,0.42282055127619356,-1.0,2,"(20, 0)",10329
"onehot_enc,median_imp,no_scale,k_best_sel,no_samp",0.19124903616355665,0.2361903968910553,0.3238510884862459,0.16734744018918335,0.285278276481149,0.4922841474301747,0.406308254418015,0.2782820413526278,0.1838393070889347,2,"(20, 0)",10329
"onehot_enc,median_imp,over_samp,max_abs_scale,no_sel",0.3936064055461944,0.17706302293407108,0.4157369862094782,0.18462783171521036,0.20255627623044636,0.15449029126213587,0.17922638916159428,0.18462783171521013,0.38089616465552273,2,"(20, 0)",10329
"loo_enc,median_imp,k_best_sel,no_scale,no_samp",0.17442306477172634,0.15518509266919417,0.23093634668882712,0.1614201038051657,0.27248723816229536,0.47289886494069633,0.3886998964650199,0.26776011208199857,0.24872927824156615,2,"(20, 0)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,over_samp",0.18930874194032088,0.5536572343833422,0.6425855079446433,0.26694983818770224,0.28085057821059034,0.23523462783171523,0.25874372647427846,0.26694983818770224,-1.0,2,"(20, 0)",10329
"loo_enc,mean_imp,k_best_sel,no_scale,over_samp",0.40906155426993873,0.21526007310785086,0.472613889901239,0.19516585760517802,0.20996112543781997,0.1696601941747573,0.19031182816906966,0.19516585760517802,0.35650696664664916,2,"(20, 0)",10329
"loo_enc,median_imp,no_sel,norm_scale,no_samp",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,2,"(20, 0)",10329
"loo_enc,median_imp,no_sel,norm_scale,no_samp",0.06647479342679417,0.7625106022052587,0.8079651476598041,0.22189121955713886,0.4030226700251889,0.7581941078944012,0.6558046655169284,0.4049870215847411,-1.0,3,"(20, 0)",10329
"loo_enc,median_imp,no_samp,k_best_sel,norm_scale",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.22311968305641716,0.38167625308134756,0.8080601964035199,0.7070559610705596,0.42282055127619356,-1.0,3,"(20, 0)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,no_samp",0.05282703555844397,0.7854113655640373,0.8183554856641208,0.22308897146893525,0.38142211261816683,0.8080601964035199,0.7070274479268055,0.4228003247389768,-1.0,3,"(20, 0)",10329
"loo_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.22311968305641716,0.38167625308134756,0.8080601964035199,0.7070559610705596,0.42282055127619356,-1.0,3,"(20, 0)",10329
"onehot_enc,median_imp,no_scale,k_best_sel,over_samp",0.4769420228718196,0.33027690695844003,0.6459490870626958,0.2072815533980582,0.23130337913108057,0.16258090614886733,0.1984123910939013,0.2072815533980582,0.29058155449530926,3,"(20, 0)",10329
"onehot_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.223211817818863,0.3824374230611407,0.8080601964035199,0.7071414672115197,0.42288123088784413,-1.0,3,"(20, 0)",10329
"onehot_enc,median_imp,norm_scale,k_best_sel,over_samp",0.18738725195429945,0.5554956896551724,0.6433814277702683,0.26575647249190937,0.27961941008563274,0.2343042071197411,0.2576527110501029,0.2657564724919095,-1.0,3,"(20, 0)",10329
"loo_enc,median_imp,k_best_sel,no_scale,no_samp",0.17442306477172634,0.15518509266919417,0.23093634668882712,0.1614201038051657,0.27248723816229536,0.47289886494069633,0.3886998964650199,0.26776011208199857,0.24872927824156615,3,"(20, 0)",10329
"onehot_enc,median_imp,over_samp,max_abs_scale,no_sel",0.3854826261656795,0.167636106624955,0.40476666536220696,0.1861852750809061,0.20326664881612666,0.1574029126213592,0.18097634822955777,0.1861852750809062,0.39090707111675976,3,"(20, 0)",10329
"onehot_enc,median_imp,no_scale,k_best_sel,no_samp",0.19124903616355665,0.2361903968910553,0.3238510884862459,0.16734744018918335,0.285278276481149,0.4922841474301747,0.406308254418015,0.2782820413526278,0.1838393070889347,3,"(20, 0)",10329
"onehot_enc,median_imp,k_best_sel,norm_scale,no_samp",0.053198403119487515,0.7854113655640373,0.8187724998426028,0.223211817818863,0.3824374230611407,0.8080601964035199,0.7071414672115197,0.42288123088784413,-1.0,4,"(20, 0)",10329
